S/N,Level,Type,Part No,Part Rev,Part Status,Latest,Nomenclature,Drawing Sheets,Instance ID,Instance ID 총수량(D/L DB),Instance ID 총수량(ALL DB),Qty,NextPart
34097,10,Standard,MS14181-05010L,-,Release,T,BOLT,,,,,4.0,85B5260-011
34098,10,Standard,MS14182L05,-,Release,T,NUT,,,,,8.0,85B5260-011
34099,10,Standard,MS14183L-5,-,Release,T,WASHER,,,,,4.0,85B5260-011
34100,10,Standard,MS14183L-C5,-,Release,T,WASHER,,,,,8.0,85B5260-011
34101,10,Standard,MS21042L4,-,Release,T,NUT,,,,,2.0,85B5260-011
34102,10,Standard,NAS1149D0432K,-,Release,T,WASHER,,,,,2.0,85B5260-011
34103,10,Standard,NAS6204-7,-,Release,T,BOLT,,,,,2.0,85B5260-011
34104,10,Standard,NAS9302B-4-05,-,Release,T,RIVET,,,,,4.0,85B5260-011
34105,10,Standard,NAS9302B-4-06,-,Release,T,RIVET,,,,,4.0,85B5260-011
34107,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B5261-025
34109,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B5261-623
34111,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B5262-013
34113,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B5271-603
34115,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B5272-023
34117,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B5275-013
34119,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B5662-013
34121,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B5672-013
34123,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B5672-014
34125,10,Material,AMS-QQ-A-250/12-T62.-.S,-,Release,T,ALUMINUM ALLOY 7075,,,,,1.0,85B5682-013
34127,10,Material,AMS-QQ-A-250/12-T62.-.S,-,Release,T,ALUMINUM ALLOY 7075,,,,,1.0,85B5682-015
34129,10,Material,AMS-QQ-A-250/12-T62.-.S,-,Release,T,ALUMINUM ALLOY 7075,,,,,1.0,85B5682-017
34131,10,Material,85TK0040A13T8511.SEE 85TK-STD.BE,-,Release,T,EXTRUSION,,,,,1.0,85B5682-019
34133,10,Material,85TK0040A13T8511.SEE 85TK-STD.BE,-,Release,T,EXTRUSION,,,,,1.0,85B5682-020
34135,10,Material,AMS-QQ-A-250/12-T62.-.S,-,Release,T,ALUMINUM ALLOY 7075,,,,,1.0,85B5683-013
34137,10,Material,AMS-QQ-A-250/12-T62.-.S,-,Release,T,ALUMINUM ALLOY 7075,,,,,1.0,85B5683-014
34139,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B5683-017
34141,10,General,85B5861-005,-,Release,T,SHIM,,85B5861-003,,9.0,1.0,85B5860-121
34143,10,General,85B5861-011,-,Release,T,FITTING ASSY OF,,85B5861-001,,2.0,1.0,85B5860-121
34160,10,General,85B5866-013,D,Release,T,SUPPORT,1,85B5866-003,,8.0,1.0,85B5860-121
34162,10,General,85B5866-015,-,Release,T,RUBBER PAD,,85B5866-005,,2.0,1.0,85B5860-121
34164,10,Material,85TB0103A062.-.NA,-,Release,T,SHIM STOCK,,,,,9999.0,85B5860-121
34165,10,Material,85TB6076-3.-.NA,-,Release,T,ADHESIVE,,,,,9999.0,85B5860-121
34166,10,Standard,85TV1148-3,-,Release,T,SEAL,,,,,13.0,85B5860-121
34167,10,Standard,85TV1148-4,-,Release,T,SEAL,,,,,7.0,85B5860-121
34168,10,Material,AMS-QQ-A-250/4-T3.-.S,-,Release,T,ALUMINUM ALLOY 2024,,,,,9999.0,85B5860-121
34169,10,Material,AMS-QQ-A-250/4-T81.-.S,-,Release,T,ALUMINUM ALLOY 2024,,,,,9999.0,85B5860-121
34170,10,Material,FMS-1058-2.-.NA,-,Release,T,PRIMER,,,,,9999.0,85B5860-121
34171,10,Material,FMS-3014-FR1.-.NA,A,Release,T,ADHESIVE,,,,,9999.0,85B5860-121
34172,10,Material,FMS-3055.-.NA,A,Release,T,SEALANT,,,,,9999.0,85B5860-121
34173,10,Material,FMS-3069-FRI.-.NA,A,Release,T,ADHESIVE,,,,,9999.0,85B5860-121
34174,10,Standard,MS14181-06014L,-,Release,T,BOLT,,,,,8.0,85B5860-121
34175,10,Standard,MS14182L06,-,Release,T,NUT,,,,,8.0,85B5860-121
